t,monthly_max,t_monthly_max,PMM
0.023451730418943537,2.009,1993-01-08 14:00:00,3.8
0.09984061930783242,1.9660001,1993-02-05 13:00:00,2.59
0.1762295081967213,1.9020001,1993-03-05 12:00:00,0.53
0.26810109289617484,1.881,1993-04-08 03:00:00,-0.875
0.3473360655737705,1.9110001,1993-05-07 03:00:00,-0.25
0.4237249544626594,1.9260001,1993-06-04 02:00:00,1.085
0.549408014571949,1.8750001,1993-07-20 02:00:00,1.96
0.6257969034608378,1.8930001,1993-08-17 01:00:00,1.91
0.714936247723133,1.7950001,1993-09-18 16:00:00,2.0949999999999998
0.7913251366120219,1.8840001,1993-10-16 15:00:00,3.125
0.8705601092896175,1.881,1993-11-14 15:00:00,3.21
0.9469489981785063,1.8290001,1993-12-12 14:00:00,3.005
1.0260701275045538,1.838,1994-01-09 13:00:00,3.09
1.1080373406193078,1.8010001,1994-02-08 13:00:00,3.4299999999999997
1.243624772313297,1.725,1994-03-30 04:00:00,4.17
1.317167577413479,1.871,1994-04-26 02:00:00,3.29
1.3992486338797814,1.8320001,1994-05-26 03:00:00,2.0549999999999997
1.4756375227686704,1.932,1994-06-23 02:00:00,3.72
1.5520264116575593,2.015,1994-07-21 01:00:00,5.390000000000001
1.6014344262295082,1.914,1994-08-08 03:00:00,4.62
1.6749772313296902,1.868,1994-09-04 01:00:00,3.165
1.7640027322404372,1.9260001,1994-10-06 15:00:00,0.78
1.8432377049180326,2.006,1994-11-04 15:00:00,-2.485
1.9196265938069215,1.9200001,1994-12-02 14:00:00,-3.5199999999999996
2.0807149362477233,1.9290001,1995-01-29 13:00:00,-1.665
2.1627959927140257,1.8440001,1995-02-28 14:00:00,2.295
2.165528233151184,1.838,1995-03-01 14:00:00,4.1850000000000005
2.295537340619308,1.963,1995-04-18 04:00:00,4.13
2.36908014571949,1.8930001,1995-05-15 02:00:00,3.825
2.4511612021857925,2.042,1995-06-14 03:00:00,2.295
2.5247040072859743,2.1000001,1995-07-11 01:00:00,2.16
2.60393897996357,1.9230001,1995-08-09 01:00:00,2.79
2.742372495446266,1.868,1995-09-28 17:00:00,2.6399999999999997
2.815915300546448,1.9570001,1995-10-25 15:00:00,2.435
2.8979963570127505,2.048,1995-11-24 16:00:00,3.47
2.974271402550091,2.085,1995-12-22 14:00:00,3.6
3.0533925318761383,2.051,1996-01-19 13:00:00,2.99
3.091643897996357,1.8330001,1996-02-02 13:00:00,2.6799999999999997
3.1763433515482697,1.853,1996-03-04 13:00:00,2.5149999999999997
3.3093123861566482,1.812,1996-04-22 05:00:00,3.26
