t,monthly_max,t_monthly_max,PMM
0.02333788706739526,2.252,1993-01-08 13:00:00,3.8
0.10257285974499089,2.298,1993-02-06 13:00:00,2.59
0.17896174863387979,2.0640001,1993-03-06 12:00:00,0.53
0.2679872495446266,2.1920002,1993-04-08 02:00:00,-0.875
0.350068306010929,2.1980002,1993-05-08 03:00:00,-0.25
0.4701730418943534,2.1880002,1993-06-21 02:00:00,1.085
0.549408014571949,2.1980002,1993-07-20 02:00:00,1.96
0.6257969034608378,2.2250001,1993-08-17 01:00:00,1.91
0.7049180327868853,2.1060002,1993-09-15 00:00:00,2.0949999999999998
0.7912112932604736,2.1790001,1993-10-16 14:00:00,3.125
0.870332422586521,2.131,1993-11-14 13:00:00,3.21
0.9468351548269581,2.2010002,1993-12-12 13:00:00,3.005
1.078096539162113,2.161,1994-01-28 14:00:00,3.09
1.1107695810564664,2.045,1994-02-09 13:00:00,3.4299999999999997
1.2308743169398908,2.0570002,1994-03-25 12:00:00,4.17
1.3198998178506376,2.1060002,1994-04-27 02:00:00,3.29
1.3962887067395264,2.1090002,1994-05-25 01:00:00,2.0549999999999997
1.4726775956284153,2.0700002,1994-06-22 00:00:00,3.72
1.560336976320583,2.112,1994-07-24 02:00:00,5.390000000000001
1.633879781420765,2.112,1994-08-20 00:00:00,4.62
1.674863387978142,1.9840001,1994-09-04 00:00:00,3.165
1.7667349726775956,2.121,1994-10-07 15:00:00,0.78
1.8459699453551912,2.039,1994-11-05 15:00:00,-2.485
1.9166666666666665,2.1000001,1994-12-01 12:00:00,-3.5199999999999996
2.0834471766848814,2.124,1995-01-30 13:00:00,-1.665
2.124430783242259,2.121,1995-02-14 13:00:00,2.295
2.165414389799636,2.042,1995-03-01 13:00:00,4.1850000000000005
2.325250455373406,2.0300002,1995-04-29 01:00:00,4.13
2.36908014571949,2.0760002,1995-05-15 02:00:00,3.825
2.451047358834244,2.158,1995-06-14 02:00:00,2.295
2.53028233151184,2.167,1995-07-13 02:00:00,2.16
2.6066712204007283,2.0670002,1995-08-10 01:00:00,2.79
2.6857923497267757,2.088,1995-09-08 00:00:00,2.6399999999999997
2.8186475409836067,2.039,1995-10-26 15:00:00,2.435
2.8921903460837886,2.2280002,1995-11-22 13:00:00,3.47
2.9770036429872495,2.164,1995-12-23 14:00:00,3.6
3.0562386156648453,2.1950002,1996-01-20 14:00:00,2.99
3.1353597449908923,2.2210002,1996-02-18 13:00:00,2.6799999999999997
3.1763433515482697,2.134,1996-03-04 13:00:00,2.5149999999999997
3.300774134790528,1.9280001,1996-04-19 02:00:00,3.26
3.341757741347905,2.038,1996-05-04 02:00:00,3.395
3.49738160291439,2.173,1996-06-30 01:00:00,1.68
3.5001138433515484,2.2120001,1996-07-01 01:00:00,0.8899999999999999
3.658469945355191,2.1750002,1996-08-28 00:00:00,1.69
3.7321265938069215,2.186,1996-09-23 23:00:00,2.2649999999999997
3.823998178506375,2.1450002,1996-10-27 14:00:00,3.0149999999999997
3.8705601092896176,2.2050002,1996-11-13 15:00:00,3.5
3.9823542805100183,2.298,1996-12-24 13:00:00,4.51
