t,monthly_max,t_monthly_max,PMM
7.102800546448087,1.3570001,2000-02-06 15:00:00,-4.23
7.209016393442623,1.3110001,2000-03-16 12:00:00,-5.755000000000001
7.270947176684881,1.302,2000-04-08 04:00:00,-6.12
7.3800091074681236,1.32,2000-05-18 02:00:00,-3.58
7.4238387978142075,1.4260001,2000-06-03 03:00:00,-0.83
7.582194899817851,1.4610001,2000-07-31 02:00:00,0.09000000000000002
7.658583788706739,1.45,2000-08-28 01:00:00,0.27499999999999997
7.732126593806922,1.3720001,2000-09-23 23:00:00,-0.485
7.832308743169399,1.343,2000-10-30 15:00:00,-1.05
7.870560109289618,1.3750001,2000-11-13 15:00:00,-1.335
7.944102914389799,1.4590001,2000-12-10 13:00:00,-1.23
8.02891621129326,1.414,2001-01-10 14:00:00,-2.5149999999999997
8.184540072859745,1.23,2001-03-08 13:00:00,-5.745
8.325933515482696,1.2800001,2001-04-29 07:00:00,-5.775
8.396516393442623,1.335,2001-05-25 03:00:00,-4.465
8.47301912568306,1.4080001,2001-06-22 03:00:00,-2.34
8.552140255009107,1.4360001,2001-07-21 02:00:00,-0.385
8.631375227686704,1.473,2001-08-19 02:00:00,1.225
8.704918032786885,1.376,2001-09-15 00:00:00,1.495
8.796789617486338,1.3080001,2001-10-18 15:00:00,2.3049999999999997
8.840505464480874,1.322,2001-11-03 15:00:00,2.415
8.998975409836065,1.483,2001-12-31 15:00:00,1.51
9.08094262295082,1.4990001,2002-01-29 15:00:00,0.395
9.108037340619308,1.3570001,2002-02-08 13:00:00,-1.335
9.230760473588342,1.342,2002-03-25 11:00:00,-0.69
9.32832422586521,1.327,2002-04-30 04:00:00,-0.015000000000000013
9.363615664845174,1.3490001,2002-05-13 02:00:00,-1.135
9.481102003642988,1.391,2002-06-25 02:00:00,-2.425
9.524817850637524,1.406,2002-07-11 02:00:00,-2.205
9.606898907103826,1.46,2002-08-10 03:00:00,-1.4900000000000002
9.680441712204008,1.381,2002-09-06 01:00:00,-1.665
9.77231329690346,1.3970001,2002-10-09 16:00:00,-2.28
9.845856102003642,1.4250001,2002-11-05 14:00:00,-2.16
9.925091074681239,1.493,2002-12-04 14:00:00,-0.84
10.007058287795992,1.4890001,2003-01-02 14:00:00,0.9450000000000001
10.089025500910747,1.455,2003-02-01 14:00:00,2.16
10.23622495446266,1.345,2003-03-27 11:00:00,2.02
10.298269581056466,1.3030001,2003-04-19 04:00:00,1.94
10.374658469945356,1.373,2003-05-17 03:00:00,2.25
10.494763205828779,1.4300001,2003-06-30 02:00:00,1.5350000000000001
10.533014571948998,1.5500001,2003-07-14 02:00:00,1.045
10.60667122040073,1.5050001,2003-08-10 01:00:00,1.69
10.729508196721312,1.577,2003-09-24 00:00:00,1.7
10.818533697632057,1.577,2003-10-26 14:00:00,1.055
10.90061475409836,1.57,2003-11-25 15:00:00,0.61
10.974157559198543,1.432,2003-12-22 13:00:00,0.595
11.056124772313296,1.432,2004-01-20 13:00:00,0.665
11.102800546448087,1.4130001,2004-02-06 15:00:00,0.575
11.217326958105646,1.3130001,2004-03-19 13:00:00,0.355
11.306352459016393,1.3340001,2004-04-21 03:00:00,1.61
11.34733606557377,1.4530001,2004-05-06 03:00:00,2.88
11.497267759562842,1.5180001,2004-06-30 00:00:00,2.59
11.582081056466302,1.618,2004-07-31 01:00:00,2.4299999999999997
11.58492714025501,1.6100001,2004-08-01 02:00:00,2.605
11.66974043715847,1.3210001,2004-09-01 03:00:00,2.475
11.829462659380692,1.4530001,2004-10-29 14:00:00,1.77
11.87044626593807,1.473,2004-11-13 14:00:00,0.56
11.952527322404372,1.462,2004-12-13 15:00:00,1.3550000000000002
12.031762295081966,1.598,2005-01-11 15:00:00,3.24
12.108151183970856,1.4710001,2005-02-08 14:00:00,3.45
12.184540072859745,1.417,2005-03-08 13:00:00,1.9
12.32297358834244,1.338,2005-04-28 05:00:00,0.0050000000000000044
12.393670309653917,1.427,2005-05-24 02:00:00,-0.645
12.472905282331512,1.5460001,2005-06-22 02:00:00,-1.2650000000000001
12.552140255009107,1.4940001,2005-07-21 02:00:00,-1.375
12.587545537340619,1.3950001,2005-08-03 01:00:00,-0.12
12.707650273224044,1.4100001,2005-09-16 00:00:00,0.09499999999999997
12.799521857923498,1.4380001,2005-10-19 15:00:00,0.1050000000000001
12.878756830601093,1.4360001,2005-11-17 15:00:00,1.7550000000000001
12.998861566484518,1.5320001,2005-12-31 14:00:00,1.6600000000000001
13.004439890710383,1.5270001,2006-01-01 15:00:00,-0.6
13.15721766848816,1.4130001,2006-02-26 13:00:00,-0.97
13.236338797814208,1.3010001,2006-03-27 12:00:00,-0.25
13.328210382513662,1.4890001,2006-04-30 03:00:00,-1.295
13.331056466302368,1.4810001,2006-05-01 04:00:00,-1.43
13.481102003642988,1.422,2006-06-25 02:00:00,-0.625
13.524817850637524,1.493,2006-07-11 02:00:00,-0.14500000000000002
13.604052823315119,1.5370001,2006-08-09 02:00:00,-0.305
13.680441712204008,1.5500001,2006-09-06 01:00:00,-1.09
13.77231329690346,1.4940001,2006-10-09 16:00:00,-0.725
13.848588342440802,1.6250001,2006-11-06 14:00:00,-1.01
13.927823315118397,1.5640001,2006-12-05 14:00:00,-2.795
14.083447176684881,1.59,2007-01-30 13:00:00,-3.03
14.089025500910747,1.485,2007-02-01 14:00:00,-1.5299999999999998
14.22176684881603,1.34,2007-03-22 04:00:00,-0.565
14.298155737704919,1.386,2007-04-19 03:00:00,-1.1099999999999999
14.374544626593806,1.4020001,2007-05-17 02:00:00,-1.23
14.453779599271403,1.46,2007-06-15 02:00:00,-0.405
14.533014571948998,1.5500001,2007-07-14 02:00:00,0.685
14.60655737704918,1.419,2007-08-10 00:00:00,2.23
14.68294626593807,1.4250001,2007-09-06 23:00:00,2.245
14.821379781420765,1.462,2007-10-27 15:00:00,1.455
14.900500910746812,1.5150001,2007-11-25 14:00:00,1.09
14.936020036429872,1.383,2007-12-08 14:00:00,-0.555
15.056124772313296,1.4950001,2008-01-20 13:00:00,-3.1849999999999996
15.135245901639344,1.3970001,2008-02-18 12:00:00,-4.545
15.21448087431694,1.3290001,2008-03-18 12:00:00,-5.755
15.270833333333334,1.4350001,2008-04-08 03:00:00,-7.375
15.350068306010929,1.424,2008-05-07 03:00:00,-7.470000000000001
15.426457194899818,1.424,2008-06-04 02:00:00,-6.215
15.582081056466302,1.5270001,2008-07-31 01:00:00,-5.805
15.58492714025501,1.5330001,2008-08-01 02:00:00,-5.8149999999999995
15.73485883424408,1.485,2008-09-24 23:00:00,-4.890000000000001
15.791211293260474,1.424,2008-10-15 14:00:00,-3.425
15.873292349726777,1.536,2008-11-14 15:00:00,-1.77
15.952527322404372,1.5920001,2008-12-13 15:00:00,-1.0
16.03164845173042,1.503,2009-01-11 14:00:00,-1.68
16.10803734061931,1.401,2009-02-08 13:00:00,-1.7
16.18169398907104,1.3160001,2009-03-07 12:00:00,-2.34
16.320013661202186,1.325,2009-04-27 03:00:00,-3.06
16.396402550091075,1.424,2009-05-25 02:00:00,-1.105
16.478483606557376,1.4280001,2009-06-24 03:00:00,-0.735
16.552026411657558,1.457,2009-07-21 01:00:00,-1.04
16.631261384335154,1.4440001,2009-08-19 01:00:00,0.5199999999999999
16.707650273224044,1.409,2009-09-16 00:00:00,1.7449999999999999
16.799521857923498,1.3900001,2009-10-19 15:00:00,1.6099999999999999
16.840391621129324,1.4030001,2009-11-03 14:00:00,0.955
16.92247267759563,1.521,2009-12-03 15:00:00,1.4700000000000002
17.004439890710383,1.478,2010-01-01 15:00:00,1.625
17.089139344262296,1.3210001,2010-02-01 15:00:00,0.41000000000000003
17.24612932604736,1.1570001,2010-03-31 02:00:00,-1.025
17.325478142076502,1.269,2010-04-29 03:00:00,-2.25
17.40459927140255,1.3130001,2010-05-28 02:00:00,-2.02
17.448315118397087,1.411,2010-06-13 02:00:00,-1.2850000000000001
17.530396174863387,1.4760001,2010-07-13 03:00:00,-1.735
17.60393897996357,1.462,2010-08-09 01:00:00,-2.105
17.736680327868854,1.4490001,2010-09-26 15:00:00,-1.6400000000000001
17.772199453551913,1.557,2010-10-09 15:00:00,-1.185
17.848588342440802,1.4490001,2010-11-06 14:00:00,-0.5800000000000001
17.965960837887067,1.404,2010-12-19 13:00:00,-0.26
18.053506375227688,1.511,2011-01-19 14:00:00,-1.17
18.129895264116577,1.3800001,2011-02-16 13:00:00,-1.96
18.206284153005466,1.284,2011-03-16 12:00:00,-3.1500000000000004
18.298155737704917,1.3870001,2011-04-19 03:00:00,-4.695
18.377276867030965,1.4690001,2011-05-18 02:00:00,-6.205
18.45935792349727,1.391,2011-06-17 03:00:00,-7.12
18.535746812386158,1.47,2011-07-15 02:00:00,-6.17
18.65585154826958,1.493,2011-08-28 01:00:00,-4.66
18.688524590163933,1.404,2011-09-09 00:00:00,-3.19
18.824112021857925,1.48,2011-10-28 15:00:00,-2.24
18.900500910746814,1.391,2011-11-25 14:00:00,-2.255
18.979735883424407,1.411,2011-12-24 14:00:00,-3.0700000000000003
19.023451730418945,1.3610001,2012-01-08 14:00:00,-3.995
19.1054189435337,1.391,2012-02-07 14:00:00,-4.640000000000001
19.181807832422585,1.274,2012-03-06 13:00:00,-5.1
19.27356557377049,1.309,2012-04-09 03:00:00,-5.495
19.34722222222222,1.4100001,2012-05-06 02:00:00,-6.92
19.432035519125684,1.419,2012-06-06 03:00:00,-8.120000000000001
19.508424408014573,1.4490001,2012-07-04 02:00:00,-7.53
19.587659380692166,1.4210001,2012-08-02 02:00:00,-5.97
19.723246812386158,1.348,2012-09-20 17:00:00,-3.435
19.79678961748634,1.465,2012-10-17 15:00:00,-1.5
19.87887067395264,1.468,2012-11-16 16:00:00,-0.08499999999999996
19.952413479052822,1.524,2012-12-13 14:00:00,0.26
20.034380692167577,1.5230001,2013-01-12 14:00:00,-1.28
20.1051912568306,1.358,2013-02-07 12:00:00,-3.42
20.24077868852459,1.3030001,2013-03-29 03:00:00,-2.9000000000000004
20.322859744990893,1.386,2013-04-28 04:00:00,0.8800000000000001
20.399248633879782,1.552,2013-05-26 03:00:00,2.05
20.47563752276867,1.4820001,2013-06-23 02:00:00,1.775
20.554872495446265,1.488,2013-07-22 02:00:00,1.775
20.631261384335154,1.4870001,2013-08-19 01:00:00,1.2850000000000001
20.707536429872494,1.434,2013-09-15 23:00:00,0.56
20.79940801457195,1.4030001,2013-10-19 14:00:00,0.56
20.84323770491803,1.4660001,2013-11-04 15:00:00,1.205
20.99874772313297,1.4740001,2013-12-31 13:00:00,1.105
21.00717213114754,1.491,2014-01-02 15:00:00,2.625
21.089139344262296,1.4100001,2014-02-01 15:00:00,4.425000000000001
21.165528233151186,1.309,2014-03-01 14:00:00,3.345
21.328096539162114,1.325,2014-04-30 02:00:00,1.74
21.407331511839708,1.34,2014-05-29 02:00:00,0.98
21.448315118397087,1.447,2014-06-13 02:00:00,0.14500000000000002
21.530282331511838,1.531,2014-07-13 02:00:00,0.26499999999999996
21.60393897996357,1.5180001,2014-08-09 01:00:00,1.2650000000000001
21.683060109289617,1.457,2014-09-07 00:00:00,1.8050000000000002
21.813069216757743,1.4720001,2014-10-24 14:00:00,2.1
21.854166666666668,1.5410001,2014-11-08 15:00:00,2.895
21.979963570127506,1.478,2014-12-24 16:00:00,4.1
22.009676684881605,1.5350001,2015-01-03 13:00:00,6.220000000000001
22.1382058287796,1.3920001,2015-02-19 14:00:00,8.1
22.170878870673953,1.2540001,2015-03-03 13:00:00,7.375
22.30646630236794,1.4050001,2015-04-22 04:00:00,4.15
22.38285519125683,1.4210001,2015-05-20 03:00:00,2.375
22.494649362477233,1.542,2015-06-30 01:00:00,2.31
22.503073770491802,1.6250001,2015-07-03 03:00:00,2.415
22.58219489981785,1.5150001,2015-08-01 02:00:00,3.125
22.69125683060109,1.3740001,2015-09-10 00:00:00,3.11
22.824112021857925,1.4710001,2015-10-28 15:00:00,1.5299999999999998
22.906079234972676,1.3640001,2015-11-27 15:00:00,-0.9299999999999999
22.97962204007286,1.399,2015-12-24 13:00:00,-2.715
23.06443533697632,1.4580001,2016-01-23 14:00:00,-2.21
23.1054189435337,1.4300001,2016-02-07 14:00:00,0.04499999999999993
23.20002276867031,1.3230001,2016-03-13 05:00:00,1.7799999999999998
23.27356557377049,1.3840001,2016-04-09 03:00:00,2.58
23.34995446265938,1.5130001,2016-05-07 02:00:00,3.495
23.429189435336976,1.628,2016-06-05 02:00:00,4.49
23.508310564663024,1.5450001,2016-07-04 01:00:00,5.215
23.584699453551913,1.5350001,2016-08-01 00:00:00,5.64
23.71049635701275,1.5200001,2016-09-16 01:00:00,2.65
23.79678961748634,1.5040001,2016-10-17 15:00:00,1.805
23.875910746812387,1.5660001,2016-11-15 14:00:00,1.67
23.957991803278688,1.5300001,2016-12-15 15:00:00,1.2149999999999999
24.037112932604735,1.491,2017-01-13 14:00:00,0.235
24.10507741347905,1.4050001,2017-02-07 11:00:00,-0.17000000000000004
24.246470856102004,1.5070001,2017-03-31 05:00:00,0.065
24.32832422586521,1.496,2017-04-30 04:00:00,-0.075
24.399134790528233,1.4870001,2017-05-26 02:00:00,0.5700000000000001
24.47836976320583,1.5810001,2017-06-24 02:00:00,1.315
24.557604735883423,1.6450001,2017-07-23 02:00:00,1.9899999999999998
24.63672586520947,1.628,2017-08-21 01:00:00,3.2849999999999997
24.67770947176685,1.514,2017-09-05 01:00:00,3.6499999999999995
24.775159380692166,1.4690001,2017-10-10 17:00:00,4.655
24.848702185792348,1.547,2017-11-06 15:00:00,6.755000000000001
